流水號;授課對象;課號;班次;課程名稱查看課程大綱，請點選課程名稱;簡介影片;學分;課程識別碼;全/半年;必/選修;授課教師;加選方式;時間教室;總人數;選課限制條件;備註;課程網頁;本學期我預計要選的課程
;化學系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;經濟系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;昆蟲系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;生技系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;法律系財法組;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;資管系;Common1011;;國文領域;;3.0;000 10110;半年;必帶;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;法律系司法組;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;森林環資系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;植微系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;生物機電系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;國企系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;會計系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱大學國文課程時間表。;;
;土木系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
;機械系;Common1011;;國文領域;;3.0;000 10110;半年;必修;;;;100;本校修課人數上限：100人;參閱共同必修國文領域課程時間表。;;
