流水號;授課對象;課號;班次;課程名稱查看課程大綱，請點選課程名稱;簡介影片;學分;課程識別碼;全/半年;必/選修;授課教師;加選方式;時間教室;總人數;選課限制條件;備註;課程網頁;本學期我預計要選的課程
85314;生化分生所;md&ph5002;;儀器分析概論;;2.0;420 U0200;半年;必修;李明學;3;一9,10(基醫104);120;本校修課人數上限：120人;本課程中文授課,使用英文教科書。研究所共同課程.修過此課程且及格者不必再修,與黃婉媜合開.與顏若芳、郭錦樺、沈雅敬、梁碧惠、楊雅倩、俞松良、莊雅惠、蘇剛毅、吳瑞菁、湯志永、張明富、呂紹俊、詹迺立、曾秀如、林世明、曾文毅、陳志宏合授;;
85314;藥理所;md&ph5002;;儀器分析概論;;2.0;420 U0200;半年;選修;李明學;3;一9,10(基醫104);120;本校修課人數上限：120人;本課程中文授課,使用英文教科書。醫學校區研究所共同課程，與黃婉媜、紀崇楠合開。與顏若芳、郭錦樺、沈雅敬、梁碧惠、楊雅倩、俞松良、莊雅惠、蘇剛毅、吳瑞菁、湯志永、張明富、呂紹俊、詹迺立、曾秀如、林世明、曾文毅、陳志宏合授;;
85314;病理所;md&ph5002;;儀器分析概論;;2.0;420 U0200;半年;選修;李明學;3;一9,10(基醫104);120;本校修課人數上限：120人;本課程中文授課,使用英文教科書。與黃婉媜合開.與顏若芳、郭錦樺、沈雅敬、梁碧惠、楊雅倩、俞松良、莊雅惠、蘇剛毅、吳瑞菁、湯志永、張明富、呂紹俊、詹迺立、曾秀如、林世明、曾文毅、陳志宏合授;;
85314;病理所;md&ph5002;;儀器分析概論;;2.0;420 U0200;半年;選修;李明學;3;一9,10(基醫104);120;本校修課人數上限：120人;本課程中文授課,使用英文教科書。與黃婉媜合開.與顏若芳、郭錦樺、沈雅敬、梁碧惠、楊雅倩、俞松良、莊雅惠、蘇剛毅、吳瑞菁、湯志永、張明富、呂紹俊、詹迺立、曾秀如、林世明、曾文毅、陳志宏合授;;
85314;藥學所;md&ph5002;;儀器分析概論;;2.0;420 U0200;半年;必修;李明學;3;一9,10(基醫104);120;本校修課人數上限：120人;本課程中文授課,使用英文教科書。與黃婉媜合開.與顏若芳、郭錦樺、沈雅敬、梁碧惠、楊雅倩、俞松良、莊雅惠、蘇剛毅、吳瑞菁、湯志永、張明富、呂紹俊、詹迺立、曾秀如、林世明、曾文毅、陳志宏合授;;
85314;生理所;md&ph5002;;儀器分析概論;;2.0;420 U0200;半年;選修;李明學;3;一9,10(基醫104);120;本校修課人數上限：120人;本課程中文授課,使用英文教科書。研究所共同課程。與顏若芳、郭錦樺、沈雅敬、梁碧惠、楊雅倩、俞松良、莊雅惠、蘇剛毅、吳瑞菁、湯志永、張明富、呂紹俊、詹迺立、曾秀如、林世明、曾文毅、陳志宏合授;;
85314;生化分生所;md&ph5002;;儀器分析概論;;2.0;420 U0200;半年;必修;李明學;3;一9,10(基醫104);120;本校修課人數上限：120人;本課程中文授課,使用英文教科書。研究所共同課程,與黃婉媜合開.與顏若芳、郭錦樺、沈雅敬、梁碧惠、楊雅倩、俞松良、莊雅惠、蘇剛毅、吳瑞菁、湯志永、張明富、呂紹俊、詹迺立、曾秀如、林世明、曾文毅、陳志宏合授;;
43309;基蛋所;md&ph5036;;醫學研究專題討論一;;1.0;420 U4000;半年;選修;李建國;3;三5(基醫102);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。醫學校區研究所共同課程。與楊曜旭、邱瀚模、吳嘉峰、李明學、賴明宗、伍安怡、李永凌、張典顯合授;;
43309;分子醫學學程;md&ph5036;;醫學研究專題討論一;;1.0;420 U4000;半年;選修;李建國;3;三5(基醫102);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。醫學校區研究所共同課程。與楊曜旭、邱瀚模、吳嘉峰、李明學、賴明宗、伍安怡、李永凌、張典顯合授;;
43309;微生所寄生組;md&ph5036;;醫學研究專題討論一;;1.0;420 U4000;半年;選修;李建國;3;三5(基醫102);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。研究所共同課程.合開教師：謝清河、楊永正。與楊曜旭、邱瀚模、吳嘉峰、李明學、賴明宗、伍安怡、李永凌、張典顯合授;;
43309;藥理所;md&ph5036;;醫學研究專題討論一;;1.0;420 U4000;半年;選修;李建國;3;三5(基醫102);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。與劉鴻興鄭世進謝奇璋李岳倫陳念榮顧正崙余家益楊皇煜姚宗杰合授醫學校區研究所共同課程與楊曜旭、邱瀚模、吳嘉峰、李明學、賴明宗、伍安怡、李永凌、張典顯合授;;
43309;微生所微免組;md&ph5036;;醫學研究專題討論一;;1.0;420 U4000;半年;選修;李建國;3;三5(基醫102);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。研究所共同課程.合開教師：謝清河、楊永正。與楊曜旭、邱瀚模、吳嘉峰、李明學、賴明宗、伍安怡、李永凌、張典顯合授;;
43309;醫衛共同課程;md&ph5036;;醫學研究專題討論一;;1.0;420 U4000;半年;選修;李建國;3;三5(基醫102);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。與劉鴻興鄭世進謝奇璋李岳倫陳念榮顧正崙余家益楊皇煜姚宗杰合授醫學校區研究所共同課程與楊曜旭、邱瀚模、吳嘉峰、李明學、賴明宗、伍安怡、李永凌、張典顯合授;;
43309;藥理所;md&ph5036;;醫學研究專題討論一;;1.0;420 U4000;半年;選修;李建國;3;三5(基醫102);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。與劉鴻興鄭世進謝奇璋李岳倫陳念榮顧正崙余家益楊皇煜姚宗杰合授醫學校區研究所共同課程與楊曜旭、邱瀚模、吳嘉峰、李明學、賴明宗、伍安怡、李永凌、張典顯合授;;
43309;微生所;md&ph5036;;醫學研究專題討論一;;1.0;420 U4000;半年;選修;李建國;3;三5(基醫102);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。研究所共同課程.合開教師：謝清河、楊永正。與楊曜旭、邱瀚模、吳嘉峰、李明學、賴明宗、伍安怡、李永凌、張典顯合授;;
43309;生化分生所;md&ph5036;;醫學研究專題討論一;;1.0;420 U4000;半年;選修;李建國;3;三5(基醫102);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。研究所共同課程.合開教師：謝清河、楊永正。與楊曜旭、邱瀚模、吳嘉峰、李明學、賴明宗、伍安怡、李永凌、張典顯合授;;
65121;生化分生所;md&ph5039;;學術論文之倫理及撰寫;;1.0;420 U4300;半年;必修;余明俊;3;三9(基醫302);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。需加修醫學研究專題討論一(或二),或只修醫學研究專題討論一及二.黃媜鎔,杜宜凌.與詹智強、林榮耀、詹迺立、劉旻禕、李立仁、徐立中、張智芬、李建國、熊宜君合授;;
65121;微生所微免組;md&ph5039;;學術論文之倫理及撰寫;;1.0;420 U4300;半年;選修;余明俊;3;三9(基醫302);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。@研究所共同課程,與黃菊芬,杜宜凌合開。與詹智強、林榮耀、詹迺立、劉旻禕、李立仁、徐立中、張智芬、李建國、熊宜君合授;;
65121;藥理所;md&ph5039;;學術論文之倫理及撰寫;;1.0;420 U4300;半年;選修;余明俊;3;三9(基醫302);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。醫學校區研究所共同課程。與Marc Anthony呂宜欣.姚建中.黃舒宜合開。與詹智強、林榮耀、詹迺立、劉旻禕、李立仁、徐立中、張智芬、李建國、熊宜君合授;;
65121;藥理所;md&ph5039;;學術論文之倫理及撰寫;;1.0;420 U4300;半年;選修;余明俊;3;三9(基醫302);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。醫學校區研究所共同課程。與Marc Anthony呂宜欣.姚建中.黃舒宜合開。與詹智強、林榮耀、詹迺立、劉旻禕、李立仁、徐立中、張智芬、李建國、熊宜君合授;;
65121;物治所;md&ph5039;;學術論文之倫理及撰寫;;1.0;420 U4300;半年;必修;余明俊;3;三9(基醫302);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。與詹智強、林榮耀、詹迺立、劉旻禕、李立仁、徐立中、張智芬、李建國、熊宜君合授;;
65121;醫衛共同課程;md&ph5039;;學術論文之倫理及撰寫;;1.0;420 U4300;半年;選修;余明俊;3;三9(基醫302);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。醫學校區研究所共同課程。與Marc Anthony呂宜欣.姚建中.黃舒宜合開。與詹智強、林榮耀、詹迺立、劉旻禕、李立仁、徐立中、張智芬、李建國、熊宜君合授;;
65121;生理所;md&ph5039;;學術論文之倫理及撰寫;;1.0;420 U4300;半年;選修;余明俊;3;三9(基醫302);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。研究所共同課程。與詹智強、林榮耀、詹迺立、劉旻禕、李立仁、徐立中、張智芬、李建國、熊宜君合授;;
65121;毒理所;md&ph5039;;學術論文之倫理及撰寫;;1.0;420 U4300;半年;必修;余明俊;3;三9(基醫302);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。研究所共同課程,與林銀英,姚建中合開與詹智強、林榮耀、詹迺立、劉旻禕、李立仁、徐立中、張智芬、李建國、熊宜君合授;;
65121;毒理所;md&ph5039;;學術論文之倫理及撰寫;;1.0;420 U4300;半年;必修;余明俊;3;三9(基醫302);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。研究所共同課程,與林銀英,姚建中合開與詹智強、林榮耀、詹迺立、劉旻禕、李立仁、徐立中、張智芬、李建國、熊宜君合授;;
65121;微生所;md&ph5039;;學術論文之倫理及撰寫;;1.0;420 U4300;半年;選修;余明俊;3;三9(基醫302);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。@研究所共同課程,與黃菊芬,杜宜凌合開。與詹智強、林榮耀、詹迺立、劉旻禕、李立仁、徐立中、張智芬、李建國、熊宜君合授;;
65121;腫瘤醫學所;md&ph5039;;學術論文之倫理及撰寫;;1.0;420 U4300;半年;必帶;余明俊;3;三9(基醫302);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。@研究所共同課程,與黃菊芬,杜宜凌合開。與詹智強、林榮耀、詹迺立、劉旻禕、李立仁、徐立中、張智芬、李建國、熊宜君合授;;
65121;微生所寄生組;md&ph5039;;學術論文之倫理及撰寫;;1.0;420 U4300;半年;選修;余明俊;3;三9(基醫302);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。研究所共同課程,與林銀英,姚建中合開與詹智強、林榮耀、詹迺立、劉旻禕、李立仁、徐立中、張智芬、李建國、熊宜君合授;;
65121;基蛋所;md&ph5039;;學術論文之倫理及撰寫;;1.0;420 U4300;半年;選修;余明俊;3;三9(基醫302);160;本校修課人數上限：160人;本課程中文授課,使用英文教科書。醫學校區研究所共同課程。與吳朝 裕,姚建中合開。與詹智強、林榮耀、詹迺立、劉旻禕、李立仁、徐立中、張智芬、李建國、熊宜君合授;;
58017;分子醫學學程;md&ph5050;;微生物與疾病;;2.0;420 U4500;半年;必修;蔡錦華;3;四3,4(基醫104);100;本校修課人數上限：100人;本課程中文授課,使用英文教科書。醫學校區研究所共同課程。與顏伯勳、王錦堂、張  鑫、董馨蓮、陳美如、鄧述諄、李財坤、孫錦虹、葉秀慧、陳小梨、蕭信宏、林稚容、詹世鵬、楊宏志、張永祺合授;;
58017;醫衛共同課程;md&ph5050;;微生物與疾病;;2.0;420 U4500;半年;選修;蔡錦華;3;四3,4(基醫104);100;本校修課人數上限：100人;本課程中文授課,使用英文教科書。醫學校區研究所共同課程。與顏伯勳、王錦堂、張  鑫、董馨蓮、陳美如、鄧述諄、李財坤、孫錦虹、葉秀慧、陳小梨、蕭信宏、林稚容、詹世鵬、楊宏志、張永祺合授;;
58017;微生所微免組;md&ph5050;;微生物與疾病;;2.0;420 U4500;半年;選修;蔡錦華;3;四3,4(基醫104);100;本校修課人數上限：100人;本課程中文授課,使用英文教科書。@研究所共同課程與顏伯勳、王錦堂、張  鑫、董馨蓮、陳美如、鄧述諄、李財坤、孫錦虹、葉秀慧、陳小梨、蕭信宏、林稚容、詹世鵬、楊宏志、張永祺合授;;
58017;微生所;md&ph5050;;微生物與疾病;;2.0;420 U4500;半年;必修;蔡錦華;3;四3,4(基醫104);100;本校修課人數上限：100人;本課程中文授課,使用英文教科書。@研究所共同課程與顏伯勳、王錦堂、張  鑫、董馨蓮、陳美如、鄧述諄、李財坤、孫錦虹、葉秀慧、陳小梨、蕭信宏、林稚容、詹世鵬、楊宏志、張永祺合授;;
22201;生化分生所;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;必修;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。研究所共同課程與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;微生所;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;選修;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。@研究所共同課程。與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;生理所;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;選修;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。研究所共同課程。與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;醫衛共同課程;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;選修;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。醫學校區研究所共同課程。與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;病理所;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;必帶;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。@研究所共同課程。與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;醫技所;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;必修;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。教室:基301與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;微生所寄生組;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;選修;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。@研究所共同課程。與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;醫技所;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;選修;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。@研究所共同課程。與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;生化分生所;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;必修;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。@研究所共同課程。與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;微生所微免組;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;選修;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。@研究所共同課程。與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;基蛋所;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;選修;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。醫學校區研究所共同課程。與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;基蛋所;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;選修;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。醫學校區研究所共同課程。與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;病理所;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;必帶;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。@研究所共同課程。與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;病理所;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;必帶;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。@研究所共同課程。與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;病理所;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;必帶;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。@研究所共同課程。與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
22201;分子醫學學程;md&ph5074;;分子生物學及技術;;4.0;420 U4800;半年;必修;林敬哲;3;二9,10(基醫301)四9,10(基醫301);186(含開放臺大系統人數:6);本校修課人數上限：180人;本課程中文授課,使用英文教科書。醫學校區研究所共同課程。與胡務亮、方偉宏、邱浩傑、詹智強、林榮耀、張明富、呂紹俊、李明學、余明俊、張  鑫、鄧述諄、李財坤、詹世鵬、楊宏志、蔡幸真、李芳仁、阮麗蓉、潘俊良、劉雅雯、蔡欣祐、許秉寧、張百恩、陳佑宗、陳沛隆合授;;
